2023-11-26 15:44:25,127: '5'
2023-11-26 15:44:25,493: '8'
2023-11-26 15:44:25,871: '5'
2023-11-26 15:45:06,086: Key.backspace
2023-11-26 15:45:06,454: Key.backspace
2023-11-26 15:45:06,983: Key.backspace
2023-11-26 15:45:10,892: Key.backspace
2023-11-26 15:45:11,116: Key.backspace
2023-11-26 15:45:12,374: Key.ctrl_l
2023-11-26 15:45:12,600: '\x13'
2023-11-26 15:45:19,905: Key.ctrl_l
2023-11-26 15:45:20,167: '\x06'
2023-11-26 15:45:21,516: Key.shift
2023-11-26 15:45:21,836: 'f'
2023-11-26 15:45:22,065: 'e'
2023-11-26 15:45:22,232: 'e'
2023-11-26 15:45:22,472: 'd'
2023-11-26 15:45:23,255: 'b'
2023-11-26 15:45:23,352: 'a'
2023-11-26 15:45:23,544: 'c'
2023-11-26 15:45:23,702: 'k'
2023-11-26 15:45:24,084: Key.shift
2023-11-26 15:45:24,301: '_'
2023-11-26 15:45:24,746: 'l'
2023-11-26 15:45:24,913: 'a'
2023-11-26 15:45:25,439: 'b'
2023-11-26 15:45:25,674: 'e'
2023-11-26 15:45:25,802: 'l'
2023-11-26 15:45:30,186: Key.backspace
2023-11-26 15:45:30,434: Key.backspace
2023-11-26 15:45:30,730: Key.backspace
2023-11-26 15:45:32,310: Key.enter
2023-11-26 15:45:32,741: Key.enter
2023-11-26 15:45:39,592: Key.backspace
2023-11-26 15:45:39,921: Key.backspace
2023-11-26 15:45:40,260: Key.backspace
2023-11-26 15:45:42,603: Key.enter
2023-11-26 15:45:46,416: Key.backspace
2023-11-26 15:45:46,611: Key.backspace
2023-11-26 15:45:47,735: Key.enter
2023-11-26 15:45:50,742: Key.backspace
2023-11-26 15:45:51,023: Key.backspace
2023-11-26 15:45:52,962: Key.backspace
2023-11-26 15:45:53,214: Key.backspace
2023-11-26 15:45:54,866: Key.backspace
2023-11-26 15:45:55,091: Key.backspace
2023-11-26 15:45:56,812: Key.backspace
2023-11-26 15:45:57,041: Key.backspace
2023-11-26 15:45:59,415: Key.backspace
2023-11-26 15:45:59,754: Key.backspace
2023-11-26 15:46:01,870: Key.backspace
2023-11-26 15:46:02,108: Key.backspace
2023-11-26 15:46:04,702: Key.backspace
2023-11-26 15:46:04,951: Key.backspace
2023-11-26 15:46:06,676: Key.backspace
2023-11-26 15:46:06,907: Key.backspace
2023-11-26 15:46:08,639: Key.backspace
2023-11-26 15:46:08,905: Key.backspace
2023-11-26 15:46:11,298: Key.ctrl_l
2023-11-26 15:46:11,462: '\x13'
2023-11-26 15:46:56,085: Key.enter
2023-11-26 15:47:20,116: 'e'
2023-11-26 15:47:20,321: 'd'
2023-11-26 15:47:20,936: 'g'
2023-11-26 15:47:21,133: 'e'
2023-11-26 15:47:28,462: 'c'
2023-11-26 15:47:28,570: 'h'
2023-11-26 15:47:28,715: 'a'
2023-11-26 15:47:28,923: 't'
2023-11-26 15:47:29,110: 'g'
2023-11-26 15:47:29,269: 'p'
2023-11-26 15:47:29,349: 't'
2023-11-26 15:47:29,527: Key.enter
2023-11-26 15:47:53,872: 'i'
2023-11-26 15:47:53,978: 'f'
2023-11-26 15:47:54,149: Key.shift
2023-11-26 15:47:54,254: '('
2023-11-26 15:47:54,421: ')'
2023-11-26 15:47:54,901: Key.left
2023-11-26 15:47:59,204: Key.backspace
2023-11-26 15:47:59,593: Key.right
2023-11-26 15:47:59,879: Key.backspace
2023-11-26 15:48:00,041: Key.space
2023-11-26 15:48:01,319: 's'
2023-11-26 15:48:01,497: 'e'
2023-11-26 15:48:01,584: 'l'
2023-11-26 15:48:01,740: 'f'
2023-11-26 15:48:01,902: '.'
